Operador;Pais
BHS - Brazilian Helicopter Services;Estados Unidos
BKS Air Transport;Estados Unidos
Blue Wing Airlines;Estados Unidos
Blue Wings Airlines;Estados Unidos
BOAC;Estados Unidos
Boeing Air Transport;Estados Unidos
Boeing KC-135E;Estados Unidos
Bonanza Airlines;Estados Unidos
Branch River Air Service;Estados Unidos
Braniff Airlines;Estados Unidos
Braniff Airways;Estados Unidos
Bremerton-Seattle Air Taxi / Gorst Air Lines;Estados Unidos
Britt Airways;Estados Unidos
Bruning Aviation;Estados Unidos
Burke Air Transport;Estados Unidos
Burlington Air Express;Estados Unidos
Business Air Connection;Estados Unidos
Business Jet Services;Estados Unidos
Butler Aviation Inc.;Estados Unidos
Cable Commuter;Estados Unidos
California Air Freight;Estados Unidos
California Air National Guard;Estados Unidos
California Aircraft;Estados Unidos
Capital Airlines / Military - Air National Guard;Estados Unidos
Capitol Airlines;Estados Unidos
Capitol Airways;Estados Unidos
Cascade Airways;Estados Unidos
Castle Aviation;Estados Unidos
Catalina Airlines;Estados Unidos
Central  Airlines (Universal Aviation Corporation);Estados Unidos
Central Airlines;Estados Unidos
Century Air Lines;Estados Unidos
Chalk's International Airlines;Estados Unidos
Chalk's Ocean Airways;Estados Unidos
Chamberlin Flying Service;Estados Unidos
Chelan Air Service;Estados Unidos
Chicago and Southern Airlines;Estados Unidos
Chicago Helicopter Airways;Estados Unidos
Chicago Southern Airlines;Estados Unidos
Chicago-Detroit Airways;Estados Unidos
Colonial Western Airlines;Estados Unidos
Columbia Pacific Airlines;Estados Unidos
Commercial Airways (Comair);Estados Unidos
Delta Air Lines;Estados Unidos
Delta Air Lines/ North Central Airlines;Estados Unidos
Eastern Air Lines;Estados Unidos
Express Airlines - Northwest Airlink;Estados Unidos
Federal Express;Estados Unidos
FedEx;Estados Unidos
Florida Commuter Airlines;Estados Unidos
Frontier Airlines;Estados Unidos
Frontier Flying Service;Estados Unidos
Galaxy Airlines;Estados Unidos
Golden West Airlines / Private;Estados Unidos
Grand Canyon Airlines;Estados Unidos
Hageland Aviation Services;Estados Unidos
Hageland Aviation Services Inc.;Estados Unidos
Hallo Bay Air - Air Taxi;Estados Unidos
Harrington's Inc;Estados Unidos
Heart of Texas Hot Air Balloon Rides;Estados Unidos
Helicopters Inc / KOMO TV;Estados Unidos
Heli-USA Airways;Estados Unidos
HiTech Helicopters;Estados Unidos
Houston Metro Airlines;Estados Unidos
Hughes Airwest  / Military - US Marine Air Corps;Estados Unidos
Independent Air Inc.;Estados Unidos
Interior Airways;Estados Unidos
Interstate Airlines;Estados Unidos
Island Airways;Estados Unidos
Island Airways Ltd.;Estados Unidos
Island Express Helicopter Service;Estados Unidos
Jack Harter Helicopters;Estados Unidos
Johnson Flying Service;Estados Unidos
Junction City Fire Department;Estados Unidos
Kansas City Southern Skyways;Estados Unidos
Kata Transportation;Estados Unidos
Knowles Flying Service of Detroit;Estados Unidos
Kodiak Airways;Estados Unidos
Kodiak Western Alaska Airlines;Estados Unidos
L & J Company;Estados Unidos
Lake Central Airlines;Estados Unidos
Lake Havasu Air;Estados Unidos
Las Vegas Airlines;Estados Unidos
Lehigh Acres Development Inc.;Estados Unidos
Liberty Helicopter Sightseeing Tours / Private;Estados Unidos
Liberty Helicopters;Estados Unidos
LifeNet;Estados Unidos
Lion Air Inc.;Estados Unidos
Living Water Teaching Ministries Charter;Estados Unidos
Lockheed AC-130H Hercules;Estados Unidos
Lone Star Airlines;Estados Unidos
Los Angeles Airways;Estados Unidos
Maddux Airlines;Estados Unidos
Maddux Airlines / Military - U.S.Army Air Force;Estados Unidos
Maryland State Police;Estados Unidos
Mavrik Aire Transport;Estados Unidos
Mc Aviation;Estados Unidos
McKinley Air Service - Air Taxi;Estados Unidos
Med Flight Air Ambulance - Private;Estados Unidos
Med-Trans Corporaion;Estados Unidos
Mercer Airlines;Estados Unidos
Metro Air Systems;Estados Unidos
Miami Airlines;Estados Unidos
Mid Continent Airlines;Estados Unidos
Mid Pacific Air;Estados Unidos
Middle States Airlines;Estados Unidos
Midwest Express;Estados Unidos
Military -  (2) U.S. Army Air Forces;Estados Unidos
Military  - US Air Force;Estados Unidos
Military - U. S. Air Force;Estados Unidos
Military - U.S.  Air Force / Military - U.S. Navy;Estados Unidos
Military - U.S. Air Force;Estados Unidos
Military - U.S. Air Force / Military -  U.S. Air Force;Estados Unidos
Military - U.S. Air Force / Military - U.S. Air Force;Estados Unidos
Military - U.S. Air Force / U.S. Air Force;Estados Unidos
Military - U.S. Air Force/Military - U.S. Air Force;Estados Unidos
Military - U.S. Army;Estados Unidos
Military - U.S. Army / Military - U.S. Army;Estados Unidos
Military - U.S. Army / Military U.S. Army;Estados Unidos
Military - U.S. Army Air Corps;Estados Unidos
Military - U.S. Army Air Force;Estados Unidos
Military - U.S. Army Air Forces;Estados Unidos
Military - U.S. Army Air Forces / Military - U.S. Army Air Forces;Estados Unidos
Military - U.S. Army Air Service;Estados Unidos
Military - U.S. Marine Corps;Estados Unidos
Military - U.S. Marine Corps/Military - U.S. Marine Corps;Estados Unidos
Military - U.S. Marines;Estados Unidos
Military - U.S. Misson;Estados Unidos
Military - U.S. Navy;Estados Unidos
Military - U.S. Navy / Military -  U.S. Navy;Estados Unidos
Military - U.S. Navy / Military - U.S. Navy;Estados Unidos
Military - U.S. Navy / NASA;Estados Unidos
Military - United States Air Force;Estados Unidos
Military - United States Army Air Force;Estados Unidos
Military - United States Navy;Estados Unidos
Military - US Air Force;Estados Unidos
Military - US Air Navy;Estados Unidos
Military - US Army;Estados Unidos
Military - US Navy;Estados Unidos
Military U.S. Navy / Military - U.S. Navy;Estados Unidos
Militiary - US Air Force;Estados Unidos
Miltiary - U.S. Airforce;Estados Unidos
Mohawk Airlines;Estados Unidos
Mountain Air Cargo;Estados Unidos
Mountain Lifeflight;Estados Unidos
Mt. McKinley Airfreight;Estados Unidos
National Air Cargo;Estados Unidos
National Airlines;Estados Unidos
National Jet Services Inc.,  (Air Indiana);Estados Unidos
National Parks Airways;Estados Unidos
National Skyway Freight Co.;Estados Unidos
New  York Helicopter;Estados Unidos
New England Airlines;Estados Unidos
New England Airways;Estados Unidos
New York Airways;Estados Unidos
North Central Airlines;Estados Unidos
North Central Airlines / Air Wisconsin;Estados Unidos
North Central Airlines / Private;Estados Unidos
North Continental Airlines (Robin Airlines);Estados Unidos
North Pacific Airlines;Estados Unidos
North Star Air Cargo;Estados Unidos
Northeast Airlines;Estados Unidos
Northern Air Cargo;Estados Unidos
Northern Illinois Flight Center;Estados Unidos
Northwest Airlines;Estados Unidos
Northwest Airlines/ Northwest Airlines;Estados Unidos
Northwest Airlink;Estados Unidos
Northwest Airways;Estados Unidos
Northwest Orient Airlines;Estados Unidos
NY, Phil., Washington AW;Estados Unidos
Omniflight Helicopters Inc.;Estados Unidos
Overseas National Airways;Estados Unidos
Ozark Air Lines;Estados Unidos
Ozark Air Lines / Private;Estados Unidos
Pacific Air Lines;Estados Unidos
